,type,address,zip,price,date
4278,RESIDENTIAL,160 WEST 66TH   STREET,10023,1875000,12/1/2017
4279,RESIDENTIAL,160 WEST 66 STREET,10023,1725000,8/15/2017
4280,RESIDENTIAL,160 WEST 66TH STREET,10023,975000,5/25/2017
4281,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,9/8/2017
4282,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,11/10/2017
4283,RESIDENTIAL,160 WEST 66TH STREET,10023,0,11/10/2017
4284,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,5/18/2017
4285,RESIDENTIAL,160 WEST 66TH STREET,10023,1600000,11/10/2017
4286,RESIDENTIAL,160 WEST 66TH   STREET,10023,6900000,1/24/2017
4287,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,1/24/2017
4288,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,1/24/2017
4289,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,9/15/2017
4290,RESIDENTIAL,160 WEST 66TH STREET,10023,0,11/8/2017
4291,RESIDENTIAL,160 WEST 66TH   STREET,10023,2837500,5/18/2017
4292,RESIDENTIAL,160 WEST 66TH STREET,10023,3895000,9/8/2017
4293,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,11/7/2017
4294,RESIDENTIAL,160 WEST 66TH STREET,10023,4350000,4/28/2017
4295,RESIDENTIAL,160 WEST 66TH STREET,10023,2650000,5/2/2017
4296,RESIDENTIAL,160 WEST 66TH STREET,10023,5900000,12/1/2017
4297,RESIDENTIAL,144 COLUMBUS AVENUE,10023,3500000,11/28/2017
4298,RESIDENTIAL,1965 BROADWAY,10023,1595000,8/23/2017
4299,RESIDENTIAL,1965 BROADWAY,10023,2900000,1/19/2017
4300,RESIDENTIAL,1965 BROADWAY,10023,1375500,3/16/2017
4301,RESIDENTIAL,1965 BROADWAY,10023,1465000,10/13/2017
4302,RESIDENTIAL,1965 BROADWAY,10023,3038000,2/21/2017
4303,RESIDENTIAL,1965 BROADWAY,10023,1595000,1/30/2017
4304,RESIDENTIAL,1965 BROADWAY,10023,1538000,9/13/2017
4305,RESIDENTIAL,1965 BROADWAY,10023,1125000,5/31/2017
4306,RESIDENTIAL,1965 BROADWAY,10023,1660000,3/15/2017
4307,RESIDENTIAL,1965 BROADWAY,10023,1120000,7/5/2017
4308,RESIDENTIAL,1965 BROADWAY,10023,4325000,8/14/2017
4309,RESIDENTIAL,1965 BROADWAY,10023,1515000,9/8/2017
4310,RESIDENTIAL,1965 BROADWAY,10023,0,2/8/2017
4311,RESIDENTIAL,1965 BROADWAY,10023,18625000,12/11/2017
4312,RESIDENTIAL,1965 BROADWAY,10023,0,12/11/2017
4313,RESIDENTIAL,1991 BROADWAY,10023,1995000,5/22/2017
4314,RESIDENTIAL,111 WEST 67TH   STREET,10023,1266000,7/12/2017
4315,RESIDENTIAL,111 WEST 67TH STREET,10023,1690000,1/12/2017
4316,RESIDENTIAL,111 WEST 67TH   STREET,10023,0,3/16/2017
4317,RESIDENTIAL,111 WEST 67TH   STREET,10023,0,6/27/2017
4318,RESIDENTIAL,101 WEST 67TH   STREET,10023,15040000,2/15/2017
4319,RESIDENTIAL,101 WEST 67TH STREET,10023,4200000,11/6/2017
4320,RESIDENTIAL,101 WEST 67TH   STREET,10023,5700000,2/17/2017
4321,RESIDENTIAL,101 WEST 67TH   STREET,10023,2000000,10/16/2017
4322,RESIDENTIAL,155 WEST 68TH STREET,10023,1460000,8/10/2017
4323,RESIDENTIAL,155 WEST 68TH   STREET,10023,1400000,11/21/2017
4324,RESIDENTIAL,155 WEST 68TH   STREET,10023,0,1/26/2017
4325,RESIDENTIAL,155 WEST 68TH   STREET,10023,550000,8/16/2017
4326,RESIDENTIAL,155 WEST 68TH   STREET,10023,775000,11/27/2017
4327,RESIDENTIAL,155 WEST 68TH   STREET,10023,10,8/16/2017
4328,RESIDENTIAL,155 WEST 68TH   STREET,10023,0,3/18/2017
4329,RESIDENTIAL,155 W 68 STREET,10023,0,3/9/2017
4330,RESIDENTIAL,155 WEST 68TH   STREET,10023,998000,6/30/2017
4331,RESIDENTIAL,155 WEST 68TH STREET,10023,0,1/24/2017
4332,RESIDENTIAL,155 WEST 68TH   STREET,10023,995000,6/29/2017
4333,RESIDENTIAL,155 WEST 68TH   STREET,10023,0,2/28/2017
4334,RESIDENTIAL,155 WEST 68TH   STREET,10023,780000,5/24/2017
4335,RESIDENTIAL,155 WEST 68TH   STREET,10023,763000,5/24/2017
4336,RESIDENTIAL,155 WEST 68TH   STREET,10023,1240000,6/27/2017
4337,RESIDENTIAL,2000 BROADWAY,10023,821000,12/11/2017
4338,RESIDENTIAL,2000 BROADWAY,10023,1455000,12/21/2017
4339,RESIDENTIAL,2000 BROADWAY,10023,1170000,12/21/2017
4340,RESIDENTIAL,2000 BROADWAY,10023,0,4/20/2017
4341,RESIDENTIAL,2000 BROADWAY,10023,1208662,4/12/2017
4342,RESIDENTIAL,2000 BROADWAY,10023,2200000,8/14/2017
4343,RESIDENTIAL,2000 BROADWAY,10023,1550000,5/19/2017
4344,RESIDENTIAL,2000 BROADWAY,10023,0,10/24/2017
4345,RESIDENTIAL,2000 BROADWAY,10023,1660000,12/14/2017
4346,RESIDENTIAL,2000 BROADWAY,10023,2150000,10/24/2017
4347,RESIDENTIAL,2000 BROADWAY,10023,11275000,7/18/2017
